"class","zipped_size","unzipped_size","label"
"quoted_deflate_zip64",546041102,633713674932629504,""
"quoted_deflate_zip64",819061653,1419717629240932352,""
"quoted_deflate_zip64",1228592480,3185173086587433984,""
"quoted_deflate_zip64",1842888720,7152867699378046976,""
"quoted_deflate_extra",250,139321,""
"quoted_deflate_extra",375,367394,""
"quoted_deflate_extra",562,876171,""
"quoted_deflate_extra",843,2064005,""
"quoted_deflate_extra",1265,4755464,""
"quoted_deflate_extra",1898,10931987,""
"quoted_deflate_extra",2847,24912497,""
"quoted_deflate_extra",4271,56508218,""
"quoted_deflate_extra",6407,127608902,""
"quoted_deflate_extra",9610,285943521,""
"quoted_deflate_extra",14416,641765798,""
"quoted_deflate_extra",21624,1441376985,""
"quoted_deflate_extra",32436,3239199481,""
"quoted_deflate_extra",48654,7282380530,""
"quoted_deflate_extra",72982,16377050955,""
"quoted_deflate_extra",109473,36835267468,""
"quoted_deflate_extra",164210,82860174690,""
"quoted_deflate_extra",246315,186029890088,""
"quoted_deflate_extra",369472,414791431037,""
"quoted_deflate_extra",554209,925859144870,""
"quoted_deflate_extra",831314,2072052214498,""
"quoted_deflate_extra",1246971,4645421503239,""
"quoted_deflate_extra",1870456,10427152802711,""
"quoted_deflate_extra",2805685,23423554470311,""
"quoted_deflate_extra",4208528,52646680066501,""
"quoted_deflate_extra",6312792,118370539135717,""
"quoted_deflate_extra",8317712,205338483545122,""
"quoted_deflate_zip64_extra",250,27865,""
"quoted_deflate_zip64_extra",375,156865,""
"quoted_deflate_zip64_extra",562,464402,""
"quoted_deflate_zip64_extra",843,1213635,""
"quoted_deflate_zip64_extra",1265,3023765,""
"quoted_deflate_zip64_extra",1898,7240520,""
"quoted_deflate_zip64_extra",2847,16966092,""
"quoted_deflate_zip64_extra",4271,39195378,""
"quoted_deflate_zip64_extra",6407,89751004,""
"quoted_deflate_zip64_extra",9610,203816945,""
"quoted_deflate_zip64_extra",14416,459853070,""
"quoted_deflate_zip64_extra",21624,1036444917,""
"quoted_deflate_zip64_extra",32436,2334652460,""
"quoted_deflate_zip64_extra",48654,5256977250,""
"quoted_deflate_zip64_extra",72982,11834557322,""
"quoted_deflate_zip64_extra",109473,26636795608,""
"quoted_deflate_zip64_extra",164210,59946672228,""
"quoted_deflate_zip64_extra",246315,134900287686,""
"quoted_deflate_zip64_extra",369472,302106513663,""
"quoted_deflate_zip64_extra",554209,675184154179,""
"quoted_deflate_zip64_extra",831314,1512325943919,""
"quoted_deflate_zip64_extra",1246971,3392469812970,""
"quoted_deflate_zip64_extra",1870456,7617654439813,""
"quoted_deflate_zip64_extra",2805685,17116633496554,""
"quoted_deflate_zip64_extra",4208528,38477779412670,""
"quoted_deflate_zip64_extra",6312792,86523017817637,""
"quoted_deflate_zip64_extra",9469188,194598807985264,""
